प्रथमोऽध्याय,प्रथम+अध्याय
प्राप्तोऽस्मि,प्राप्त+अस्मि
मैव,मा+एवम
विवदमानोऽपि,विवदमान+अपि
संवृत्तोऽस्मि,संवृत्त+अस्मि
अद्यास्मि,अद्य+अस्मि
खल्वेष,खलु+एष
वरुणोऽयम,वरुण+अयम
गच्छाग्रत,गच्छ+अग्रत
क्वचिदपि,क्वचित+अपि
देवस्तस्मात,देव+तस्मात
कथमिव,कथम+इव
मैवम,मा+एवम
यथैव,यथा+एव
पञ्चमोऽङ्क,पञ्चम+अङ्क
अयमस्मि,अयम+अस्मि
एवमपि,एवम+अपि
खल्वसि,खलु+असि
यावन्न,यावत+न
नावेक्षितम,न+अवेक्षितम
सुतस्ते,सुत+ते
सोऽपि,स+अपि
मामिह,माम+इह
मोहमुपगत,मोहम+उपगत
अद्यापि,अद्य+अपि
इदानीमपि,इदानीम+अपि
राजन्यन्त,राजनि+अन्त
क्वासौ,क्व+असौ
स्यन्दनमानय,स्यन्दनम+आनय
षष्ठोऽङ्क,षष्ठ+अङ्क
उदधिरिव,उदधि+इव
राममालोक्य,रामम+आलोक्य
वीरमन्येन,वीरम+अन्येन
राममासाद्य,रामम+आसाद्य
तीक्ष्णमुद्यम्य,तीक्ष्णम+उद्यम्य
खल्विदम,खलु+इदम
राममेव,रामम+एव
मन्युर्मे,मन्यु+मे
तत्रैव,तत्र+एव
रिपुरन्यथा,रिपु+अन्यथा
बुद्धिर्दोलायते,बुद्धि+दोलायते
शक्तिरस्ति,शक्ति+अस्ति
ह्यार्या,हि+आर्या
रुद्रश्च,रुद्र+च
वृत्रहेव,वृत्रहा+इव
किमत,किम+अत
यस्माज्जायते,यस्मात+जायते
एवास्ति,एव+अस्ति
श्रीरपि,श्री+अपि
शान्तिस्तथा,शान्त+तथा
नात्र,न+अत्र
भवत्येव,भवति+एव
भङ्गोऽस्तु,भङ्ग+अस्तु
माऽधुना,मा+अधुना
कोऽस्ति,क+अस्ति
ततस्तर्हि,तत+तर्हि
कास्ति,का+अस्ति
पुनरह,पुन+अह
स्वयमेव,स्वयम+एव
ईश्वरोऽपि,ईश्वर+अपि
ततस्तुष्ट,तत+तुष्ट
पुनरपि,पुन+अपि
किन्त्वन्यो,किन्तु+अन्य
श्रमोऽवश्य,श्रम+अवश्य
स्याच्च,स्यात+च
तन्नून,तत+नून
श्वश्रूर्भूत्वा,श्वश्रू+भूत्वा
वधूस्तर्हि,वधू+तर्हि
सोऽस्ति,स+अस्ति
सन्तस्तु,सन्त+तु
सद्यस्तत,सद्य+तत
नापि,न+अपि
अभ्यासोऽत्र,अभ्यास+अत्र
प्रवीणोऽति,प्रवीण+अति
सन्त्येव,सन्ति+एव
कदापि,कदा+अपि
तद्धन,तत+धन
पुनश्च,पुन+च
स्वमीश्वर,स्वम+ईश्वर
ईश्वरस्तेन,ईश्वर+तेन
स्वल्पोऽपि,स्वल्प+अपि
नेदृक,न+ईदृक
हेतुर्हि,हेतु+हि
विमातापि,विमाता+अपि
कोऽपि,क+अपि
तमवश्य,तम+अवश्य
विहायान्यत,विहाय+अन्यत
यस्तथा,य+तथा
श्रीधरोस्तु,श्रीधर+अस्तु
शल्यश्च,शल्य+च
तावन्मम,तावत+मम
ततस्तत,तत+तत
सन्त्विति,सन्तु+इति
हतोऽपि,हत+अपि
अक्षयोऽस्तु,अक्षय+अस्तु
प्रसन्नोऽस्मि,प्रसन्न+अस्मि
वनमिव,वनम+इव
प्रीतोऽस्मि,प्रीत+अस्मि
एतदेव,एतद+एव
इदमपि,इदम+अपि
अन्यदपि,अन्यत+अपि
सहैव,सह+एव
एवास्य,एव+अस्य
यथाबलमद्य,यथाबलम+अद्य
नमुचिर्येन,नमुचि+येन
त्वमवरोधनम,त्वम+अवरोधनम
कोऽन्य,क+अन्य
